Bin, X, CDF
470, 0.0013047113204705655, 0.1288718647563628
471, 0.0013074814081998024, 0.13005045854664676
472, 0.0013102514959290393, 0.1309712349453061
473, 0.0013130215836582762, 0.13229715295937558
474, 0.001315791671387513, 0.13307060513424943
475, 0.00131856175911675, 0.13424919892453338
476, 0.0013213318468459868, 0.13553828588265646
477, 0.0013241019345752237, 0.13634856911347668
478, 0.0013268720223044606, 0.13752716290376063
479, 0.0013296421100336975, 0.13870575669404459
480, 0.0013324121977629343, 0.13955287098081118
481, 0.0013351822854921712, 0.14017899893189953
482, 0.001337952373221408, 0.14172590328164725
483, 0.001340722460950645, 0.14319914551950222
484, 0.0013434925486798819, 0.14426724614194705
485, 0.0013462626364091185, 0.14555633310007013
486, 0.0013490327241383554, 0.1465876026665686
487, 0.0013518028118675923, 0.14776619645685254
488, 0.0013545728995968292, 0.1486501417995655
489, 0.001357342987326066, 0.14942359397443936
490, 0.001360113075055303, 0.15063901882066968
491, 0.0013628831627845398, 0.15178078155500727
492, 0.0013656532505137767, 0.15325402379286224
493, 0.0013684233382430136, 0.15417480019152158
494, 0.0013711934259722505, 0.15550071820559105
495, 0.0013739635137014873, 0.15660564988398226
496, 0.0013767336014307242, 0.15774741261831984
497, 0.0013795036891599611, 0.15848403373724732
498, 0.001382273776889198, 0.15940481013590665
499, 0.0013850438646184349, 0.16043607970240512
500, 0.0013878139523476718, 0.16091488342970797
501, 0.0013905840400769086, 0.16205664616404555
502, 0.0013933541278061455, 0.16316157784243676
503, 0.0013961242155353822, 0.16430334057677434
504, 0.001398894303264619, 0.16526094803138006
505, 0.001401664390993856, 0.16625538654193214
506, 0.0014044344787230928, 0.16769179772384074
507, 0.0014072045664523297, 0.1687230672903392
508, 0.0014099746541815666, 0.16993849213656953
509, 0.0014127447419108035, 0.17085926853522887
510, 0.0014155148296400404, 0.1716695517660491
511, 0.0014182849173692772, 0.1731059629479577
512, 0.0014210550050985141, 0.17413723251445615
513, 0.001423825092827751, 0.17535265736068648
514, 0.0014265951805569879, 0.1764207579831313
515, 0.0014293652682862248, 0.1778571691650399
516, 0.0014321353560154616, 0.1787042834518065
517, 0.0014349054437446985, 0.17958822879451947
518, 0.0014376755314739354, 0.18069316047291067
519, 0.0014404456192031723, 0.18154027475967727
520, 0.001443215706932409, 0.18290302382969312
521, 0.0014459857946616458, 0.18408161761997707
522, 0.0014487558823908827, 0.18551802880188567
523, 0.0014515259701201196, 0.18662296048027688
524, 0.0014542960578493565, 0.18772789215866809
525, 0.0014570661455785934, 0.18850134433354193
526, 0.0014598362333078302, 0.1896431070678795
527, 0.0014626063210370671, 0.19089536297005621
528, 0.001465376408766304, 0.19181613936871555
529, 0.001468146496495541, 0.19292107104710676
530, 0.0014709165842247778, 0.19421015800522984
531, 0.0014736866719540147, 0.1952414275717283
532, 0.0014764567596832515, 0.19638319030606588
533, 0.0014792268474124884, 0.19723030459283247
534, 0.0014819969351417253, 0.19833523627122368
535, 0.0014847670228709622, 0.19903502633420478
536, 0.001487537110600199, 0.2001031269566496
537, 0.001490307198329436, 0.20135538285882632
538, 0.0014930772860586726, 0.20231299031343203
539, 0.0014958473737879095, 0.20341792199182324
540, 0.0014986174615171464, 0.20452285367021444
541, 0.0015013875492463833, 0.20592243379617667
542, 0.0015041576369756201, 0.2069905344186215
543, 0.001506927724704857, 0.2079849729291736
544, 0.001509697812434094, 0.2090899046075648
545, 0.0015124679001633308, 0.21015800523000963
546, 0.0015152379878925677, 0.21107878162866897
547, 0.0015180080756218046, 0.2122942064748993
548, 0.0015207781633510414, 0.21321498287355864
549, 0.0015235482510802783, 0.21443040771978897
550, 0.0015263183388095152, 0.21546167728628743
551, 0.001529088426538752, 0.21641928474089314
552, 0.001531858514267989, 0.21734006113955248
553, 0.0015346286019972258, 0.21833449965010457
554, 0.0015373986897264627, 0.21936576921660303
555, 0.0015401687774556996, 0.22043386983904786
556, 0.0015429388651849363, 0.2215019704614927
557, 0.0015457089529141732, 0.22249640897204478
558, 0.00154847904064341, 0.22341718537070412
559, 0.001551249128372647, 0.2241538064896316
560, 0.0015540192161018838, 0.2251114139442373
561, 0.0015567893038311207, 0.22640050090236039
562, 0.0015595593915603576, 0.22776324997237624
563, 0.0015623294792895944, 0.22872085742698195
564, 0.0015650995670188313, 0.22997311332915865
565, 0.0015678696547480682, 0.2310043828956571
566, 0.001570639742477305, 0.2323303009097266
567, 0.001573409830206542, 0.23354572575595692
568, 0.0015761799179357789, 0.23457699532245538
569, 0.0015789500056650157, 0.2356450959449002
570, 0.0015817200933942526, 0.23656587234355955
571, 0.0015844901811234895, 0.23752347979816527
572, 0.0015872602688527264, 0.23862841147655647
573, 0.001590030356581963, 0.23951235681926944
574, 0.0015928004443112, 0.24058045744171427
575, 0.0015955705320404368, 0.24128024750469537
576, 0.0015983406197696737, 0.2422010239033547
577, 0.0016011107074989106, 0.24308496924606768
578, 0.0016038807952281475, 0.24444771831608353
579, 0.0016066508829573843, 0.2453316636587965
580, 0.0016094209706866212, 0.24625244005745583
581, 0.001612191058415858, 0.24721004751206155
582, 0.001614961146145095, 0.24827814813450638
583, 0.0016177312338743319, 0.24945674192479034
584, 0.0016205013216035687, 0.2504511804353424
585, 0.0016232714093328056, 0.25122463261021627
586, 0.0016260414970620425, 0.252182240064822
587, 0.0016288115847912794, 0.25321350963132044
588, 0.0016315816725205163, 0.2543921034216044
589, 0.0016343517602497532, 0.2557548524916202
590, 0.00163712184797899, 0.25682295311406506
591, 0.0016398919357082267, 0.258001546904349
592, 0.0016426620234374636, 0.25918014069463297
593, 0.0016454321111667005, 0.2599535928695068
594, 0.0016482021988959374, 0.26116901771573714
595, 0.0016509722866251742, 0.26168465249898637
596, 0.0016537423743544111, 0.2624949357298066
597, 0.001656512462083648, 0.2633052189606268
598, 0.0016592825498128849, 0.2642996574711789
599, 0.0016620526375421218, 0.2651467717579455
600, 0.0016648227252713586, 0.2661043792125512
601, 0.0016675928130005955, 0.2666568450517468
602, 0.0016703629007298324, 0.2673566351147279
603, 0.0016731329884590693, 0.2681669183455481
604, 0.0016759030761883062, 0.26897720157636834
605, 0.001678673163917543, 0.2697138226952958
606, 0.00168144325164678, 0.27048727487016966
607, 0.0016842133393760168, 0.27144488232477537
