Bin, X, Count
111, 7.422880218967495E-5, 4.0
112, 7.489155935208277E-5, 1.0
113, 7.555431651449058E-5, 2.0
114, 7.62170736768984E-5, 2.0
115, 7.68798308393062E-5, 1.0
116, 7.754258800171402E-5, 1.0
117, 7.820534516412183E-5, 1.0
118, 7.886810232652965E-5, 0.0
119, 7.953085948893745E-5, 0.0
120, 8.019361665134527E-5, 0.0
121, 8.085637381375308E-5, 1.0
122, 8.15191309761609E-5, 2.0
123, 8.21818881385687E-5, 1.0
124, 8.284464530097652E-5, 2.0
125, 8.350740246338433E-5, 0.0
126, 8.417015962579215E-5, 1.0
127, 8.483291678819995E-5, 0.0
128, 8.549567395060776E-5, 1.0
129, 8.615843111301558E-5, 2.0
130, 8.682118827542338E-5, 1.0
131, 8.74839454378312E-5, 0.0
132, 8.814670260023901E-5, 0.0
133, 8.880945976264683E-5, 0.0
134, 8.947221692505463E-5, 0.0
135, 9.013497408746245E-5, 2.0
136, 9.079773124987026E-5, 1.0
137, 9.146048841227808E-5, 0.0
138, 9.212324557468588E-5, 4.0
139, 9.27860027370937E-5, 1.0
140, 9.344875989950151E-5, 2.0
141, 9.411151706190933E-5, 4.0
142, 9.477427422431713E-5, 0.0
143, 9.543703138672495E-5, 1.0
144, 9.609978854913276E-5, 3.0
145, 9.676254571154056E-5, 0.0
146, 9.742530287394838E-5, 2.0
147, 9.808806003635619E-5, 1.0
148, 9.875081719876401E-5, 2.0
149, 9.941357436117181E-5, 3.0
150, 1.0007633152357963E-4, 2.0
151, 1.0073908868598744E-4, 2.0
152, 1.0140184584839526E-4, 3.0
153, 1.0206460301080307E-4, 1.0
154, 1.0272736017321088E-4, 3.0
155, 1.0339011733561869E-4, 2.0
156, 1.0405287449802651E-4, 2.0
157, 1.0471563166043432E-4, 1.0
158, 1.0537838882284213E-4, 4.0
159, 1.0604114598524994E-4, 0.0
160, 1.0670390314765775E-4, 4.0
161, 1.0736666031006557E-4, 1.0
162, 1.0802941747247337E-4, 1.0
163, 1.0869217463488119E-4, 1.0
164, 1.09354931797289E-4, 1.0
165, 1.1001768895969682E-4, 0.0
166, 1.1068044612210462E-4, 1.0
167, 1.1134320328451244E-4, 0.0
168, 1.1200596044692025E-4, 2.0
169, 1.1266871760932807E-4, 3.0
170, 1.1333147477173587E-4, 1.0
171, 1.1399423193414369E-4, 1.0
172, 1.146569890965515E-4, 0.0
173, 1.1531974625895932E-4, 4.0
174, 1.1598250342136712E-4, 1.0
175, 1.1664526058377493E-4, 0.0
176, 1.1730801774618275E-4, 1.0
177, 1.1797077490859055E-4, 3.0
178, 1.1863353207099837E-4, 1.0
